lat,long
37.75835,-122.421394
37.758352,-122.421392
37.758359,-122.421388
37.758364,-122.42138
37.758368,-122.421367
37.758368,-122.421367
37.758379,-122.421356
37.758379,-122.421356
37.758383,-122.42135
37.758388,-122.421344
37.758392,-122.421336
37.758397,-122.421328
37.758398,-122.421328
37.758398,-122.421328
37.758398,-122.421329
37.758397,-122.421329
37.758395,-122.42133
37.758398,-122.42133
37.758398,-122.421334
37.758398,-122.421343
37.758401,-122.421344
37.7584,-122.42135
37.758399,-122.421351
37.7584,-122.421368
37.758405,-122.42137
37.758454,-122.421381
37.758476,-122.421385
37.758501,-122.421393
37.758531,-122.421395
37.758574,-122.421369
37.758615,-122.421361
37.758657,-122.421359
37.758706,-122.42137
37.758753,-122.421351
37.758788,-122.421348
37.758835,-122.421328
37.758876,-122.421323
37.758915,-122.421314
37.758962,-122.421294
37.759015,-122.421271
37.759067,-122.421252
37.759125,-122.421228
37.759224,-122.421337
37.759303,-122.421365
37.759363,-122.421388
37.759429,-122.421392
37.759495,-122.421398
37.759566,-122.421398
37.759636,-122.421415
37.759707,-122.421435
37.759777,-122.421443
37.759841,-122.421455
37.759897,-122.421458
37.75994,-122.42146
37.759978,-122.421459
37.760007,-122.421428
37.760035,-122.421414
37.760054,-122.421407
37.760065,-122.421401
37.760076,-122.421397
37.760089,-122.421395
37.760115,-122.42139
37.760115,-122.42139
37.760133,-122.42139
37.760154,-122.421389
37.760177,-122.421391
37.760198,-122.421394
37.760222,-122.421398
37.760246,-122.421404
37.76028,-122.421405
37.760329,-122.421403
37.760374,-122.421408
37.760412,-122.421414
37.760445,-122.421392
37.760479,-122.421394
37.760523,-122.421401
37.760624,-122.421428
37.760688,-122.421434
37.760742,-122.421443
37.760763,-122.421449
37.760785,-122.421455
37.76083,-122.421467
37.76088,-122.42148
37.760983,-122.421493
37.76104,-122.421497
37.761068,-122.4215
37.761096,-122.421504
37.761142,-122.421511
37.761189,-122.421516
37.761231,-122.421523
37.761272,-122.421523
37.761364,-122.421517
37.761413,-122.421516
37.761453,-122.421517
37.761483,-122.421518
37.761483,-122.421518
37.761505,-122.42152
37.761516,-122.421526
37.761523,-122.421527
37.761529,-122.421528
37.761534,-122.421527
37.761541,-122.421526
37.761545,-122.421533
37.761547,-122.421533
37.761555,-122.421536
37.761556,-122.421537
37.761556,-122.421537
37.761559,-122.421539
37.761571,-122.421542
37.761591,-122.421545
37.761618,-122.421544
37.761649,-122.421543
37.761681,-122.421541
37.761712,-122.421548
37.761744,-122.421559
37.761785,-122.421566
37.761833,-122.421573
37.761894,-122.421575
37.761951,-122.421579
37.762009,-122.421577
37.762066,-122.421575
37.76213,-122.421573
37.762198,-122.421575
37.762261,-122.421575
37.762327,-122.421571
37.762392,-122.421564
37.762457,-122.421561
37.762525,-122.421563
37.76259,-122.421569
37.762651,-122.42158
37.762714,-122.421594
37.762769,-122.421608
